video_id,channel_id,channel_name,title,url,published_at,views,likes,comments,duration_seconds,tier,age_hours,age_bucket,velocity,baseline_velocity,breakout_ratio,capped_breakout,breakout_label,baseline_confidence,baseline_source,trend_id,trend_name,anime_title,manager_value,manager_note
naTF8UWPpck,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,Sanji's NEW Conqueror's Haki is BROKEN!,https://www.youtube.com/watch?v=naTF8UWPpck,2026-07-05T19:33:22+00:00,68096,1906,92,597,priority,262.09,7d_plus,259.82,1.0,259.818,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
kJVklB8LYn0,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,GAROU IS BACK! Saitama's Strongest Rival Returns,https://www.youtube.com/watch?v=kJVklB8LYn0,2026-07-04T02:27:40+00:00,58056,2306,83,616,priority,303.19,7d_plus,191.49,1.0,191.486,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
XrXQKJGx9uw,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,Kurapika's Ancient Nen Reveal Breaks The Succession War!,https://www.youtube.com/watch?v=XrXQKJGx9uw,2026-07-01T19:29:46+00:00,33794,888,51,2097,priority,358.15,7d_plus,94.36,1.0,94.357,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
t21sQbSuofg,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,Luffy’s New Sun God Power DESTROYS IMU!,https://www.youtube.com/watch?v=t21sQbSuofg,2026-06-27T17:17:29+00:00,43638,1660,118,1036,priority,456.36,7d_plus,95.62,1.0,95.623,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
p7FZtNesMjM,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,"All 7 Stages of Saitama in One Punch Man (Independent Hero, King Maker, God's Fist...)",https://www.youtube.com/watch?v=p7FZtNesMjM,2026-06-25T15:41:01+00:00,11680,511,24,1597,priority,505.96,7d_plus,23.08,1.0,23.085,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
RSojKMAE9Qk,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,KING'S FINISHED! Saitama's Fight Goes Viral,https://www.youtube.com/watch?v=RSojKMAE9Qk,2026-06-19T18:37:31+00:00,83465,3306,114,745,priority,647.02,7d_plus,129.0,1.0,128.999,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
xhFYkeBIMiE,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,Brook & Blackbeard are Family?!,https://www.youtube.com/watch?v=xhFYkeBIMiE,2026-06-17T01:05:57+00:00,8124,238,13,51,priority,712.55,7d_plus,11.4,1.0,11.401,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
rft2ahwXA9s,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,One Piece Characters Who Ate The Same Devil Fruit,https://www.youtube.com/watch?v=rft2ahwXA9s,2026-06-15T20:31:18+00:00,9790,335,11,77,priority,741.13,7d_plus,13.21,1.0,13.21,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
5M_59LscefE,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,Gaara vs Crocodile,https://www.youtube.com/watch?v=5M_59LscefE,2026-06-15T15:27:06+00:00,6124,186,54,48,priority,746.2,7d_plus,8.21,1.0,8.207,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
BnY6RiHNsWk,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,"Oda Waited 20 YEARS for ""THAT MAN""!",https://www.youtube.com/watch?v=BnY6RiHNsWk,2026-06-13T23:04:40+00:00,60525,1787,128,1196,priority,786.57,7d_plus,76.95,1.0,76.948,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
XzojVnf9VIQ,UCb9CyYGTSHwh9pASlZtMI3A,Plot Armor,No One Piece Mom is Safe From Oda,https://www.youtube.com/watch?v=XzojVnf9VIQ,2026-06-13T01:29:03+00:00,6334,163,2,64,priority,808.16,7d_plus,7.84,1.0,7.838,7.838,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
YVuR-qsrJgI,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,ODA JUST SHOCKED EVERYONE!! Gear 6 Luffy Twist! One Piece Chapter 1188,https://www.youtube.com/watch?v=YVuR-qsrJgI,2026-07-10T12:25:34+00:00,94861,2458,212,726,priority,149.22,3_7d,635.71,635.71,1.0,1.0,normal,very_low,channel_median,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
hDNR4U-lqNY,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,Luffy and Zoro HYPE!! One Piece Chapter 1187 Reveals Insane Twist! Strawhats VS Imu,https://www.youtube.com/watch?v=hDNR4U-lqNY,2026-07-03T14:24:59+00:00,59495,2242,147,680,priority,315.23,7d_plus,188.73,1.0,188.735,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
QJzk-ca47pg,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,Luffy Just Changed EVERYTHING!! One Piece 1186 Chapter is INSANE! Imu Didn't See This Coming!!,https://www.youtube.com/watch?v=QJzk-ca47pg,2026-06-26T16:48:29+00:00,75572,2429,169,1103,priority,480.84,7d_plus,157.17,1.0,157.167,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
5LS-4n01-_I,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,ONE PIECE JUST BROKE US!! Chapter 1185,https://www.youtube.com/watch?v=5LS-4n01-_I,2026-06-12T13:51:10+00:00,82376,2449,184,1139,priority,819.79,7d_plus,100.48,1.0,100.484,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
26-Z2FGCBrY,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,ODA JUST MADE EVERYONE CRY!! One Piece Chapter 1184,https://www.youtube.com/watch?v=26-Z2FGCBrY,2026-05-29T13:54:43+00:00,82711,2402,129,1012,priority,1155.74,7d_plus,71.57,1.0,71.566,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
zrmLhJBK-XI,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,"ODA JUST SHOCKED EVERYONE!! The Most BROKEN Power in One Piece! Chapter 1183 Imu vs Loki, Luffy",https://www.youtube.com/watch?v=zrmLhJBK-XI,2026-05-23T15:53:42+00:00,79009,2125,144,1177,priority,1297.75,7d_plus,60.88,1.0,60.881,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
NPrD9cTTUzw,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,The Ancient Kingdom Didn’t Lose… Imu BETRAYED Them!! One Piece revealed Imu's END vs Luffy and Nika,https://www.youtube.com/watch?v=NPrD9cTTUzw,2026-05-18T13:32:53+00:00,59339,1677,165,812,priority,1420.1,7d_plus,41.79,1.0,41.785,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
zBoJh7cITag,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,Dragon's GOD FRUIT Revealed!! One Piece Chapter 1182,https://www.youtube.com/watch?v=zBoJh7cITag,2026-05-09T15:44:29+00:00,128545,3192,219,1380,priority,1633.91,7d_plus,78.67,1.0,78.673,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
rAFX5ub473E,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,"Imu and Luffy INSANITY!! OP Chapter 1181 Final Battle Twist, Imu vs Loki + Luffy",https://www.youtube.com/watch?v=rAFX5ub473E,2026-04-24T13:33:31+00:00,139473,3412,428,1430,priority,1996.09,7d_plus,69.87,1.0,69.873,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
wgJ5tOqEiWE,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,ODA MADE IMU TOO STRONG!! Luffy and Zoro twist in One Piece Chapter 1180,https://www.youtube.com/watch?v=wgJ5tOqEiWE,2026-04-17T14:03:58+00:00,82260,2888,395,924,priority,2163.58,7d_plus,38.02,1.0,38.02,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
jG6wA8cy4zI,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,Imu's Face & Devil Fruit just BROKE THE INTERNET!! One Piece 1179,https://www.youtube.com/watch?v=jG6wA8cy4zI,2026-04-02T13:05:40+00:00,232610,6145,968,852,priority,2524.55,7d_plus,92.14,1.0,92.139,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
99Eoc4QEabQ,UCOsAfA06zghgALnXPp4VbGA,AnimeUproar,LUFFY JUST EMBERRASSED IMU!! One Piece will NEVER be the same! Chapter 1178,https://www.youtube.com/watch?v=99Eoc4QEabQ,2026-03-26T13:49:11+00:00,85688,2688,353,764,priority,2691.83,7d_plus,31.83,1.0,31.833,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
0bAzYbzJnbw,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,The Finale No One Can Agree On,https://www.youtube.com/watch?v=0bAzYbzJnbw,2026-07-03T18:00:23+00:00,69064,5827,1227,980,priority,311.64,7d_plus,221.61,1.0,221.614,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
AyOtmnbSd-U,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,The One Piece Remake Ignored Oda... I'm worried,https://www.youtube.com/watch?v=AyOtmnbSd-U,2026-06-26T22:01:31+00:00,174158,6813,1698,575,priority,475.62,7d_plus,366.17,1.0,366.169,8.0,strong_breakout,low,global_fallback,trend_one_piece,One Piece Egghead / Recent Arc,One Piece,high,Large channels post routinely; algorithm should not over-rank single large-channel uploads.
sjRr8A5W_20,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,The Goku Black Plot Hole Isn't Real,https://www.youtube.com/watch?v=sjRr8A5W_20,2026-06-21T18:00:17+00:00,194479,11807,1633,1318,priority,599.64,7d_plus,324.32,1.0,324.325,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
tLKYatfJOKM,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Watching Avatar as an ADULT: Book Three (I CHANGED MY MIND),https://www.youtube.com/watch?v=tLKYatfJOKM,2026-05-30T18:00:24+00:00,194203,9772,1199,1991,priority,1127.64,7d_plus,172.22,1.0,172.221,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
KN0pEQgkg8g,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Watching Avatar as an ADULT: Book Two (TOPH HYPE!!!),https://www.youtube.com/watch?v=KN0pEQgkg8g,2026-05-23T18:00:09+00:00,138108,8512,585,1719,priority,1295.64,7d_plus,106.59,1.0,106.594,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
DCI01L2YGhg,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Watching Avatar as an ADULT is… different,https://www.youtube.com/watch?v=DCI01L2YGhg,2026-05-16T18:00:07+00:00,185512,11492,889,1245,priority,1463.65,7d_plus,126.75,1.0,126.747,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
eHVipx46Tw8,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Gohan's REAL Age (100% Canon),https://www.youtube.com/watch?v=eHVipx46Tw8,2026-05-02T18:00:37+00:00,150136,8369,805,1047,priority,1799.64,7d_plus,83.43,1.0,83.426,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Klv62b5X79c,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Dragon Ball Super's Remaster has A PROBLEM! 😤,https://www.youtube.com/watch?v=Klv62b5X79c,2026-04-25T17:56:33+00:00,139874,8274,667,671,priority,1967.7,7d_plus,71.08,1.0,71.085,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Sr2xo5dKDkc,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,JUJUTSU KAISEN: Culling Game - Blind Review,https://www.youtube.com/watch?v=Sr2xo5dKDkc,2026-04-18T18:00:22+00:00,220362,11637,1159,3017,priority,2135.64,7d_plus,103.18,1.0,103.183,8.0,strong_breakout,low,global_fallback,trend_jjk,Jujutsu Kaisen Current Arc,Jujutsu Kaisen,high,Evergreen high-volume topic; breakout depends on episode timing.
pbti0CHhuvg,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,So... I Finished The Amazing Digital Circus (feat. Ragatha),https://www.youtube.com/watch?v=pbti0CHhuvg,2026-04-11T18:00:48+00:00,227462,13868,977,2836,priority,2303.63,7d_plus,98.74,1.0,98.741,8.0,strong_breakout,low,global_fallback,trend_unlabeled,Unclustered / Other,,normal,Default bucket for videos not matching known trend keywords.
Rr7-wlQhGKA,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Chainsaw Man: A Massive Review,https://www.youtube.com/watch?v=Rr7-wlQhGKA,2026-03-28T19:00:29+00:00,106167,4393,514,6292,priority,2638.64,7d_plus,40.24,1.0,40.236,8.0,strong_breakout,low,global_fallback,trend_chainsaw_man,Chainsaw Man Season 2 / Reze Arc,Chainsaw Man,high,High interest when multiple channels cover same arc within 72h.
r14QdM9wMGs,UCv3LuuW8auzYw1SdLmiLRAw,Totally Not Mark,Jujutsu Kaisen has a CONFIDENCE Problem,https://www.youtube.com/watch?v=r14QdM9wMGs,2026-03-21T19:00:47+00:00,155294,9268,696,1352,priority,2806.63,7d_plus,55.33,1.0,55.331,8.0,strong_breakout,low,global_fallback,trend_jjk,Jujutsu Kaisen Current Arc,Jujutsu Kaisen,high,Evergreen high-volume topic; breakout depends on episode timing.
2rjPsQO4UJk,UCjFsfrQqliqmevpA96Aig9w,Anime Recapped,Soul Land 2 Anime Part 125 Explained In Hindi | Soul land 2 Unrivaled Tang Sect Episode 125 Hindi,https://www.youtube.com/watch?v=2rjPsQO4UJk,2025-11-01T04:17:40+00:00,74194,4099,651,990,priority,6181.35,7d_plus,12.0,1.0,12.003,8.0,strong_breakout,low,global_fallback,trend_hindi_recap,Hindi Language Recap (non-target),,low,Counter-example: non-English target audience content.
